ROOT;TYPE;STRUCTURE;NOTE_NAMES;FRET_POSITIONS
Ab;maj;1-3-5;Ab-C-Eb;4-6-6-5-4-4
Ab;m;1-b3-5;Ab-Cb-Eb;4-6-6-4-4-4
Ab;dim;1-b3-b5;Ab-Cb-Ebb;4-5-x-4-x-4
Ab;5;1-5;Ab-Eb;4-6-x-x-x-x
Ab;7;1-3-5-b7;Ab-C-Eb-Gb;4-6-4-5-4-4
Ab;maj7;1-3-5-7;Ab-C-Eb-G;4-6-5-5-4-4
Ab;m7;1-b3-5-b7;Ab-Cb-Eb-Gb;4-6-4-4-4-4
A;maj;1-3-5;A-C#-E;x-0-2-2-2-0
A;m;1-b3-5;A-C-E;X-0-2-2-1-0
A;dim;1-b3-b5;A-C-Eb;X-0-1-2-1-x
A;5;1-5;A-E;x-0-2-x-x-x
A;7;1-3-5-b7;A-C#-E-G;x-0-2-0-2-0
A;maj7;1-3-5-7;A-C#-E-G#;x-0-2-1-2-0
A;m7;1-b3-5-b7;A-C-E-G;x-0-2-0-1-0
A#;maj;1-3-5;A#-C##-E#;x-1-3-3-3-1
A#;m;1-b3-5;A#-C#-E#;x-1-3-3-2-1
A#;dim;1-b3-b5;A#-C#-E;x-1-2-3-2-x
A#;5;1-5;A#-E#;x-1-3-x-x-x
A#;7;1-3-5-b7;A#-C##-E#-G#;x-1-3-1-3-1
A#;maj7;1-3-5-7;A#-C##-E#-G##;x-1-3-2-3-1
A#;m7;1-b3-5-b7;A#-C#-E#-G#;x-1-3-1-2-1
Bb;maj;1-3-5;Bb-D-F;x-1-3-3-3-1
Bb;m;1-b3-5;Bb-Db-F;x-1-3-3-2-1
Bb;dim;1-b3-b5;Bb-Db-Fb;x-1-2-3-2-x
Bb;5;1-5;Bb-F;x-1-3-x-x-x
Bb;7;1-3-5-b7;Bb-D-F-Ab;x-1-3-1-3-1
Bb;maj7;1-3-5-7;Bb-D-F-A;x-1-3-2-3-1
Bb;m7;1-b3-5-b7;Bb-Db-F-Ab;x-1-3-1-2-1
B;maj;1-3-5;B-D#-F#;x-2-4-4-4-2
B;m;1-b3-5;B-D-F#;x-2-4-4-3-2
B;dim;1-b3-b5;B-D-F;x-2-3-4-3-x
B;5;1-5;B-F#;x-2-4-x-x-x
B;7;1-3-5-b7;B-D#-F#-A;x-2-4-2-4-2
B;maj7;1-3-5-7;B-D#-F#-A#;x-2-4-3-4-2
B;m7;1-b3-5-b7;B-D-F#-A;x-2-4-2-3-2
C;maj;1-3-5;C-E-G;x-3-2-0-1-0
C;m;1-b3-5;C-Eb-G;x-3-1-0-1-3
C;dim;1-b3-b5;C-Eb-Gb;x-3-4-5-4-x
C;5;1-5;C-G;x-3-5-x-x-x
C;7;1-3-5-b7;C-E-G-Bb;x-3-5-3-5-3
C;maj7;1-3-5-7;C-E-G-B;x-3-5-4-5-3
C;m7;1-b3-5-b7;C-Eb-G-Bb;x-3-5-3-4-3
C#;maj;1-3-5;C#-E#-G#;x-4-6-6-6-4
C#;m;1-b3-5;C#-E-G#;x-4-6-6-5-4
C#;dim;1-b3-b5;C#-E-G;x-4-5-6-5-x
C#;5;1-5;C#-G#;x-4-6-x-x-x
C#;7;1-3-5-b7;C#-E#-G#-B;x-4-6-4-6-4
C#;maj7;1-3-5-7;C#-E#-G#-B#;x-4-6-5-6-4
C#;m7;1-b3-5-b7;C#-E-G#-B;x-4-6-4-5-4
Db;maj;1-3-5;Db-F-Ab;x-4-6-6-6-4
Db;m;1-b3-5;Db-Fb-Ab;x-4-6-6-5-4
Db;dim;1-b3-b5;Db-Fb-Abb;x-4-5-6-5-x
Db;5;1-5;Db-Ab;x-4-6-x-x-x
Db;7;1-3-5-b7;Db-F-Ab-Cb;x-4-6-4-6-4
Db;maj7;1-3-5-7;Db-F-Ab-C;x-4-6-5-6-4
Db;m7;1-b3-5-b7;Db-Fb-Ab-Cb;x-4-6-4-5-4
D;maj;1-3-5;D-F#-A;x-x-0-2-3-2
D;m;1-b3-5;D-F-A;X-x-0-2-3-1
D;dim;1-b3-b5;D-F-Ab;x-5-6-7-6-x
D;5;1-5;D-A;x-5-7-x-x-x
D;7;1-3-5-b7;D-F#-A-C;x-5-7-5-7-5
D;maj7;1-3-5-7;D-F#-A-C#;x-5-7-6-7-5
D;m7;1-b3-5-b7;D-F-A-C;x-5-7-5-6-5
D#;maj;1-3-5;D#-F##-A#;x-6-8-8-8-6
D#;m;1-b3-5;D#-F#-A#;x-6-8-8-7-6
D#;dim;1-b3-b5;D#-F#-A;x-6-7-8-7-x
D#;5;1-5;D#-A#;x-6-8-x-x-x
D#;7;1-3-5-b7;D#-F##-A#-C#;x-6-8-6-8-6
D#;maj7;1-3-5-7;D#-F##-A#-C##;x-6-8-7-8-6
D#;m7;1-b3-5-b7;D#-F#-A#-C#;x-6-8-6-7-6
Eb;maj;1-3-5;Eb-G-Bb;x-6-8-8-8-6
Eb;m;1-b3-5;Eb-Gb-Bb;x-6-8-8-7-6
Eb;dim;1-b3-b5;Eb-Gb-Bbb;x-6-7-8-7-x
Eb;5;1-5;Eb-Bb;x-6-8-x-x-x
Eb;7;1-3-5-b7;Eb-G-Bb-Db;x-6-8-6-8-6
Eb;maj7;1-3-5-7;Eb-G-Bb-D;x-6-8-7-8-6
Eb;m7;1-b3-5-b7;Eb-Gb-Bb-Db;x-6-8-6-7-6
E;maj;1-3-5;E-G#-B;0-2-2-1-0-0
E;m;1-b3-5;E-G-B;0-2-2-0-0-0
E;dim;1-b3-b5;E-G-Bb;0-1-2-0-x-0
E;5;1-5;E-B;0-2-x-x-x-x
E;7;1-3-5-b7;E-G#-B-D;0-2-0-1-0-0
E;maj7;1-3-5-7;E-G#-B-D#;0-2-1-1-0-0
E;m7;1-b3-5-b7;E-G-B-D;0-2-0-0-0-0
F;maj;1-3-5;F-A-C;1-3-3-2-1-1
F;m;1-b3-5;F-Ab-C;1-3-3-1-1-1
F;dim;1-b3-b5;F-Ab-Cb;1-2-3-1-x-x
F;5;1-5;F-C;1-3-x-x-x-x
F;7;1-3-5-b7;F-A-C-Eb;1-3-1-2-1-1
F;maj7;1-3-5-7;F-A-C-E;1-3-2-2-1-1
F;m7;1-b3-5-b7;F-Ab-C-Eb;1-3-1-1-1-1
F#;maj;1-3-5;F#-A#-C#;2-4-4-3-2-2
F#;m;1-b3-5;F#-A-C#;2-4-4-2-2-2
F#;dim;1-b3-b5;F#-A-C;2-3-4-3-x-x
F#;5;1-5;F#-C#;2-4-x-x-x-x
F#;7;1-3-5-b7;F#-A#-C#-E;2-4-2-3-2-2
F#;maj7;1-3-5-7;F#-A#-C#-E#;2-4-3-3-2-2
F#;m7;1-b3-5-b7;F#-A-C#-E;2-4-2-2-2-2
Gb;maj;1-3-5;Gb-Bb-Db;2-4-4-3-2-2
Gb;m;1-b3-5;Gb-Bbb-Db;2-4-4-2-2-2
Gb;dim;1-b3-b5;Gb-Bbb-Dbb;2-3-4-3-x-x
Gb;5;1-5;Gb-Db;2-4-x-x-x-x
Gb;7;1-3-5-b7;Gb-Bb-Db-Fb;2-4-2-3-2-2
Gb;maj7;1-3-5-7;Gb-Bb-Db-F;2-4-3-3-2-2
Gb;m7;1-b3-5-b7;Gb-Bbb-Db-Fb;2-4-2-2-2-2
G;maj;1-3-5;G-B-D;3-2-0-0-0-3
G;m;1-b3-5;G-Bb-D;3-5-5-3-3-3
G;dim;1-b3-b5;G-Bb-Db;3-4-5-4-x-x
G;5;1-5;G-D;3-5-x-x-x-x
G;7;1-3-5-b7;G-B-D-F;3-5-3-4-3-3
G;maj7;1-3-5-7;G-B-D-F#;3-5-4-4-3-3
G;m7;1-b3-5-b7;G-Bb-D-F;3-5-3-3-3-3
G#;maj;1-3-5;G#-B#-D#;4-6-6-5-4-4
G#;m;1-b3-5;G#-B-D#;4-6-6-4-4-4
G#;dim;1-b3-b5;G#-B-D;4-5-x-4-x-4
G#;5;1-5;G#-D#;4-6-x-x-x-x
G#;7;1-3-5-b7;G#-B#-D#-F#;4-6-4-5-4-4
G#;maj7;1-3-5-7;G#-B#-D#-F##;4-6-5-5-4-4
G#;m7;1-b3-5-b7;G#-B-D#-F#;4-6-4-4-4-4
